Datetime,Asleep,Time Offset
2020-02-06 00:45:00,0,46
2020-02-06 00:46:00,0,47
2020-02-06 00:47:00,0,48
2020-02-06 00:48:00,0,49
2020-02-06 00:49:00,0,50
2020-02-06 00:50:00,0,51
2020-02-06 00:51:00,0,52
2020-02-06 00:52:00,0,53
2020-02-06 00:53:00,0,54
2020-02-06 00:54:00,0,55
2020-02-06 00:55:00,0,56
2020-02-06 00:56:00,0,57
2020-02-06 00:57:00,0,58
2020-02-06 00:58:00,0,59
2020-02-06 00:59:00,0,60
2020-02-06 01:00:00,0,61
2020-02-06 01:01:00,0,62
2020-02-06 01:02:00,0,63
2020-02-06 01:03:00,0,64
2020-02-06 01:04:00,0,65
2020-02-06 01:05:00,0,66
2020-02-06 01:06:00,0,67
2020-02-06 01:07:00,0,68
2020-02-06 01:08:00,0,69
2020-02-06 01:09:00,0,70
2020-02-06 01:10:00,0,71
2020-02-06 01:11:00,0,72
2020-02-06 01:12:00,0,73
2020-02-06 01:13:00,0,74
2020-02-06 01:14:00,0,75
2020-02-06 01:15:00,0,76
2020-02-06 01:16:00,0,77
2020-02-06 01:17:00,0,78
2020-02-06 01:18:00,0,79
2020-02-06 01:19:00,0,80
2020-02-06 01:20:00,0,81
2020-02-06 01:21:00,0,82
2020-02-06 01:22:00,0,83
2020-02-06 01:23:00,0,84
2020-02-06 01:24:00,0,85
2020-02-06 01:25:00,0,86
2020-02-06 01:26:00,0,87
2020-02-06 01:27:00,0,88
2020-02-06 01:28:00,0,89
2020-02-06 01:29:00,0,90
2020-02-06 01:30:00,0,91
2020-02-06 01:31:00,0,92
2020-02-06 01:32:00,0,93
2020-02-06 01:33:00,0,94
2020-02-06 01:34:00,0,95
2020-02-06 01:35:00,0,96
2020-02-06 01:36:00,0,97
2020-02-06 01:37:00,0,98
